==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     002
Node:    b05-10
JobId:   10590753
Start:   Sat Jul 25 23:39:32 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       29   tag=e02_resnet18_s29_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 97000/350000 | Loss: 0.039249 | LR: 2.47e-04 | 37541.2s
  Step 97500/350000 | Loss: 0.037896 | LR: 2.46e-04 | 37731.0s
  Step 98000/350000 | Loss: 0.038500 | LR: 2.46e-04 | 37919.9s
  Step 98500/350000 | Loss: 0.037321 | LR: 2.45e-04 | 38110.2s
  Step 99000/350000 | Loss: 0.038765 | LR: 2.45e-04 | 38300.1s
  Step 99500/350000 | Loss: 0.037980 | LR: 2.44e-04 | 38489.7s
  Step 100000/350000 | Loss: 0.039734 | LR: 2.44e-04 | 38680.1s
  [val] step 100000/350000 | held-out sampled-action MAE (ddim5): 0.54350
  Step 100500/350000 | Loss: 0.038860 | LR: 2.43e-04 | 38893.1s
  Step 101000/350000 | Loss: 0.037265 | LR: 2.43e-04 | 39081.5s
  Step 101500/350000 | Loss: 0.037612 | LR: 2.42e-04 | 39270.9s
  Step 102000/350000 | Loss: 0.036655 | LR: 2.42e-04 | 39459.9s
  Step 102500/350000 | Loss: 0.037464 | LR: 2.41e-04 | 39649.7s
  Step 103000/350000 | Loss: 0.035794 | LR: 2.41e-04 | 39846.3s
  Step 103500/350000 | Loss: 0.037750 | LR: 2.40e-04 | 40043.2s
  Step 104000/350000 | Loss: 0.037992 | LR: 2.39e-04 | 40240.0s
  Step 104500/350000 | Loss: 0.038337 | LR: 2.39e-04 | 40437.2s
  Step 105000/350000 | Loss: 0.037807 | LR: 2.38e-04 | 40634.4s
  Step 105500/350000 | Loss: 0.037575 | LR: 2.38e-04 | 40831.2s
  Step 106000/350000 | Loss: 0.036642 | LR: 2.37e-04 | 41027.5s
  Step 106500/350000 | Loss: 0.037815 | LR: 2.37e-04 | 41224.0s
  Step 107000/350000 | Loss: 0.036951 | LR: 2.36e-04 | 41416.4s
  Step 107500/350000 | Loss: 0.037108 | LR: 2.36e-04 | 41613.0s
